Long,Lat
-84.9590582,32.5013786
-68.7633965,44.8131879
-69.7976153,44.3690595
-114.3348789,48.404483
-114.0131264,46.8773212
-122.325253,47.700084
-122.2185837,47.4808893
-122.4505173,47.248812
-122.4336078,47.2242826
-122.3383291,40.578484
-121.8155165,39.7350673
-122.4392664,37.7854624
-122.4047381,37.7557265
-117.8844219,33.7135801
-115.142479,36.145899
-115.1306395,36.1156351
-105.2565759,40.0296888
-105.2832174,40.0253269
-95.9059942,41.1367431
-97.2769423,37.6790202
-76.5206169,39.3674113
-77.0796054,38.8077574
-78.4877767,38.0736651
-86.2987251,41.6930182
-93.2964873,44.8572379
-91.5333651,41.6644401
-93.3326413,45.0249179
-92.0980378,46.788783
-87.7437233,42.054063
-84.3941215,33.8036156
-77.088308,38.964835
-87.7488731,41.9894533
-86.2214444,39.7874493
-80.2540902,26.2180024
-80.0992903,26.7603955
-81.4017109,28.6320758
-82.4990655,27.9445148
-82.7388906,28.0354991
-82.4255671,28.0773211
-81.8628246,26.6089099
-82.5303513,27.309382
-82.6894234,27.7712597
-81.9564419,27.9839027
-81.3655383,28.6557973
-82.3367539,29.6737674
-81.6002278,30.2938417
-82.338301,29.6609504
-81.6018627,30.2815873
-84.3793567,33.876056
-84.324368,33.83573
-84.3665215,33.8076925
-83.978511,43.462485
-83.745685,43.029524
-83.0717039,42.5788031
-83.2394102,42.4682022
-83.2323678,42.4294719
-83.2022356,42.4157135
-83.3841248,42.3251716
-81.599095,41.48361
-81.508254,41.1365862
-79.9259607,40.4623068
-79.7990693,36.0365746
-78.694194,35.814467
-80.8052866,35.1899815
-78.8421358,42.9366538
-77.125309,39.0264587
-77.1830437,38.8792809
-77.0471954,38.8971542
-75.371303,39.8547461
-75.371303,39.8547461
-75.152743,39.953759
-74.9969498,39.9266307
-75.3756144,40.6728082
-73.8292474,40.7131867
-73.9716627,40.750049
-73.9007472,40.81281
-73.7648735,41.0270196
-76.0563583,42.085205
-72.6766425,41.7556096
-70.8868416,42.5595968
-71.535041,43.201864
-70.8376594,43.0364026
-70.216936,44.095539
-70.536128,44.212344
-70.551508,44.54946
-70.1520761,44.6706445
-69.630567,44.5485622
-69.7238832,44.7740739
-69.4994985,44.0543663
-69.2804901,44.9946353
-69.1460034,44.088396
-69.0192352,44.4326116
-68.7363123,44.8257491
-68.4294935,44.5513088
-67.439726,44.7227849
-67.2697698,45.1843036
-67.831328,46.124094
-68.00924,46.687735
-68.5775749,47.2456581
-122.3083682,47.6499442
-122.6856207,45.4981043
-121.3812009,38.6063991
-120.9753532,37.6737096
-121.9368286,37.3263168
-122.2592362,37.8571696
-122.4047381,37.7557265
-121.9368286,37.3263168
-119.786757,36.744558
-119.0208513,35.3823219
-118.1484285,34.6800846
-119.1484227,34.2169539
-118.4668999,34.2556744
-118.601823,34.1980929
-118.4484781,34.2023471
-118.343546,34.048192
-118.2503782,34.1433245
-118.2503782,34.1433245
-118.4653188,34.0390948
-118.4479085,34.0605437
-118.3753983,34.070169
-118.288681,34.0634803
-117.928287,34.0664909
-117.7189532,34.0793612
-118.1631131,34.0214266
-118.3442772,33.9657419
-118.1264474,33.9371071
-118.3515653,33.8024713
-118.18966,33.8073339
-117.834817,33.762549
-117.1684042,33.5186974
-117.2673194,34.0685695
-116.9198555,32.8094094
-119.7748819,39.4724852
-115.1332383,36.1323404
-111.8708957,40.6873399
-106.6391142,35.0895192
-106.6228318,35.055132
-104.9837416,39.6529831
-94.6412189,38.9282536
-84.2204488,33.7149693
-84.3726459,33.6211065
-84.468582,33.5856688
-84.2389584,30.457699
-82.4356046,28.0694282
-82.7752384,27.9396382
-82.7282261,27.803433
-80.3220112,25.8777769
-80.3059947,25.6899975
-86.0638899,39.7843489
-84.1411692,39.6891778
-82.9757308,40.1041526
-81.5359522,41.4653747
-82.9575598,42.4505206
-85.66089,42.9628109
-88.0248288,41.7515092
-87.8874243,42.051348
-87.6882699,41.9315694
-87.6683975,41.8772608
-87.644979,41.882783
-78.8940562,35.0235171
-78.7289956,35.7591785
-78.9043972,36.0392691
-80.230781,36.100135
-80.8036204,35.1989674
-76.2327233,36.8530343
-76.4616283,37.0533024
-77.4749414,37.5547248
-77.5683048,37.6052206
-79.9443705,37.262661
-77.0137124,38.9296836
-76.7266177,39.2897614
-76.4898494,39.3391332
-76.7777049,39.4137178
-77.723805,39.643874
-75.6703914,39.6876214
-75.1937463,39.9500559
-75.1423534,40.0366347
-73.8067273,40.7015983
-73.9773679,40.7494014
-73.97258,40.894273
-71.2699677,41.9426249
-71.114857,42.344372
-71.0735667,42.3349103
-71.0627826,42.3495371
-71.104982,42.3396063
-71.1067408,42.3362036
-71.1210401,42.3368043
-71.1504777,42.7028963
-71.0471901,42.7673652
-71.0678068,42.7759615
-106.7805574,32.3113769
-121.033978,39.233264
-105.0468363,39.7481916
-82.0806857,33.4996805
-87.6737256,41.8727197
-122.6817304,45.5212145
-120.5079147,46.6085899
-84.366568,33.807656
-73.9716691,40.7500553
-73.9709963,40.7637152
-73.9821765,40.6897207
-73.8908798,40.7475481
-73.9100381,40.6183808
-77.0438032,38.9045216
-112.012038,33.496751
-110.8806023,32.2486491
-112.0990091,33.5173435
-112.0645432,33.4634664
-76.9885435,38.9875017
-96.7425759,46.8785438
-110.9341559,31.3764791
-112.1032241,33.5238563
-117.2335894,32.8802499
-117.0332815,32.5438855
-116.9447042,32.55141
-117.932676,33.8466677
-117.9470044,34.0625901
-118.0521582,34.1250109
-118.1454396,33.7895519
-118.3267776,33.8665383
-118.3854327,33.9262084
-118.2221556,33.9756823
-118.2241364,33.9738922
-118.5310701,34.1705688
-122.1875242,37.4531029
-122.3808505,37.5937159
